Class,Buggy In Version
daffodil-cli/src/main/scala/edu/illinois/ncsa/daffodil/Main.scala,17
daffodil-cli/src/test/resources/edu/illinois/ncsa/daffodil/CLI/output/output9.txt,17
daffodil-core/src/main/scala/edu/illinois/ncsa/daffodil/dsom/ElementBase.scala,17
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/api/DFDLParserUnparser.scala,17
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/processors/ElementRuntimeData.scala,17
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/processors/Infoset.scala,17
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/processors/InfosetImpl.scala,17
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/processors/Runtime.scala,17
daffodil-test-ibm1/src/test/resources/test-suite/tresys-contributed/AX.tdml,17
daffodil-cli/src/test/scala-cli/edu/illinois/ncsa/daffodil/unparsing/TestCLIUnparsing.scala,17
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/processors/PrimitivesTextNumber1.scala,16
daffodil-lib/src/main/scala/edu/illinois/ncsa/daffodil/util/Misc.scala,18
daffodil-lib/src/main/scala/edu/illinois/ncsa/daffodil/xml/DaffodilXMLLoader.scala,18
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/processors/parsers/ElementKindParsers.scala,18
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/processors/parsers/RepParsers.scala,18
test-stdLayout/src/test/resources/org1/testStdLayout.tdml,18
daffodil-test/src/test/resources/edu/illinois/ncsa/daffodil/section23/dfdl_expressions/expressions.tdml,16
daffodil-test/src/test/scala/edu/illinois/ncsa/daffodil/section23/dfdl_expressions/TestDFDLExpressions.scala,16
project/build.scala,16
project/plugins.sbt,16
daffodil-core/src/main/scala/org/apache/daffodil/grammar/SequenceGrammarMixin.scala,23
daffodil-test/src/test/resources/org/apache/daffodil/section14/unordered_sequences/UnorderedSequences.tdml,23
daffodil-test/src/test/resources/org/apache/daffodil/section23/dfdl_functions/Functions.tdml,23
daffodil-test/src/test/scala/org/apache/daffodil/section14/unordered_sequences/TestUnorderedSequencesNew.scala,23
daffodil-test/src/test/scala/org/apache/daffodil/section23/dfdl_expressions/TestDFDLExpressions.scala,23
daffodil-core/src/main/scala/edu/illinois/ncsa/daffodil/processors/PrimitivesDateTime.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/dpath/ComparisonOps.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/dpath/Conversions.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/dpath/ConverterOps.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/dpath/ConverterOps2.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/dpath/ConverterOps3.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/dpath/DFDLFunctions.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/dpath/DPath.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/dpath/DPathRuntime.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/dpath/DState.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/dpath/DateTimeConversions.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/dpath/FNFunctions.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/dpath/NodeInfo.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/dpath/NumericOps.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/dpath/UpDownMoves.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/dpath/XSConstructors.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/dpath/XSHexBinary.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/processors/PrimitivesDateTime1.scala,16
daffodil-core/src/main/scala/org/apache/daffodil/grammar/SequenceGrammarMixin.scala,23
daffodil-test/src/test/resources/org/apache/daffodil/section14/unordered_sequences/UnorderedSequences.tdml,23
daffodil-test/src/test/resources/org/apache/daffodil/section23/dfdl_functions/Functions.tdml,23
daffodil-test/src/test/scala/org/apache/daffodil/section14/unordered_sequences/TestUnorderedSequencesNew.scala,23
daffodil-test/src/test/scala/org/apache/daffodil/section23/dfdl_expressions/TestDFDLExpressions.scala,23
daffodil-test/src/test/resources/edu/illinois/ncsa/daffodil/section23/dfdl_functions/Functions.tdml,16
daffodil-test/src/test/scala-debug/edu/illinois/ncsa/daffodil/section23/dfdl_expressions/TestDFDLExpressionsDebug.scala,16
daffodil-test/src/test/scala/edu/illinois/ncsa/daffodil/section23/dfdl_expressions/TestDFDLExpressions.scala,16
daffodil-test/src/test/scala-debug/edu/illinois/ncsa/daffodil/section23/dfdl_expressions/TestDFDLExpressionsDebug.scala,16
