Class,Buggy In Version
lang/c++/impl/NodeImpl.cc,19
lang/c++/impl/NodeImpl.cc,20
lang/c++/impl/NodeImpl.cc,21
lang/c++/impl/NodeImpl.cc,22
lang/c++/impl/NodeImpl.cc,23
lang/c++/test/DataFileTests.cc,19
lang/c++/test/DataFileTests.cc,20
lang/c++/test/DataFileTests.cc,21
lang/c++/test/DataFileTests.cc,22
lang/c++/test/DataFileTests.cc,23
lang/c++/impl/Compiler.cc,23
lang/c++/test/SchemaTests.cc,23
lang/c++/impl/json/JsonIO.cc,22
lang/c++/impl/parsing/JsonCodec.cc,22
lang/c++/test/CodecTests.cc,22
lang/c/src/datafile.c,23
lang/c/src/generic.c,23
lang/c++/test/CodecTests.cc,21
lang/c++/test/CodecTests.cc,22
lang/c++/impl/Compiler.cc,19
lang/c++/impl/DataFile.cc,19
lang/c++/impl/json/JsonDom.cc,19
lang/c++/impl/json/JsonIO.cc,19
lang/c++/impl/parsing/JsonCodec.cc,19
lang/c++/test/AvrogencppTests.cc,19
lang/c++/test/JsonTests.cc,19
lang/c++/impl/Compiler.cc,21
lang/c++/test/SchemaTests.cc,21
lang/c++/impl/BinaryDecoder.cc,19
lang/c++/impl/parsing/JsonCodec.cc,19
lang/c++/impl/parsing/ResolvingDecoder.cc,19
lang/c++/impl/parsing/ValidatingCodec.cc,19
lang/c++/test/CodecTests.cc,19
lang/c/src/avroappend.c,21
lang/c/src/datafile.c,21
lang/c++/impl/json/JsonIO.cc,20
lang/c++/test/CodecTests.cc,20
lang/c/src/generic.c,20
lang/c/tests/test_avro_schema.c,20
lang/c/src/datum.c,20
lang/c/src/avroappend.c,20
lang/c/src/avrocat.c,20
lang/c/src/avromod.c,20
lang/c/src/avropipe.c,20
lang/c/src/value-read.c,20
lang/c/src/codec.c,20
lang/c/src/datafile.c,20
lang/c++/impl/avrogencpp.cc,20
lang/c++/impl/FileStream.cc,20
lang/c++/test/DataFileTests.cc,20
lang/c/src/datafile.c,20
lang/c++/test/unittest.cc,20
lang/c++/impl/DataFile.cc,10
lang/c++/impl/DataFile.cc,11
lang/c++/impl/DataFile.cc,12
lang/c++/impl/DataFile.cc,13
lang/c++/impl/DataFile.cc,14
lang/c++/impl/DataFile.cc,15
lang/c++/impl/DataFile.cc,16
lang/c++/impl/DataFile.cc,17
lang/c++/impl/DataFile.cc,18
lang/c++/impl/DataFile.cc,19
lang/c++/test/DataFileTests.cc,10
lang/c++/test/DataFileTests.cc,11
lang/c++/test/DataFileTests.cc,12
lang/c++/test/DataFileTests.cc,13
lang/c++/test/DataFileTests.cc,14
lang/c++/test/DataFileTests.cc,15
lang/c++/test/DataFileTests.cc,16
lang/c++/test/DataFileTests.cc,17
lang/c++/test/DataFileTests.cc,18
lang/c++/test/DataFileTests.cc,19
lang/c/src/codec.c,19
lang/c/src/datafile.c,19
lang/csharp/src/apache/main/Specific/ObjectCreator.cs,11
lang/csharp/src/apache/main/Specific/ObjectCreator.cs,18
lang/csharp/src/apache/test/Specific/SpecificTests.cs,11
lang/csharp/src/apache/test/Specific/SpecificTests.cs,18
lang/c/src/datum.c,18
lang/c/src/errors.c,18
lang/c/src/resolved-writer.c,18
lang/c/tests/performance.c,18
lang/c/src/codec.c,18
lang/c/src/datafile.c,18
lang/c/src/datafile.c,18
lang/c/src/datum.c,18
lang/c/src/map.c,18
lang/c/src/datafile.c,18
lang/c/src/schema_specific.c,18
lang/c++/impl/json/JsonIO.cc,18
lang/c++/test/JsonTests.cc,18
lang/c/src/datafile.c,18
lang/c/examples/quickstop.c,17
lang/c/src/resolved-reader.c,17
lang/c/tests/test_avro_968.c,17
lang/c/tests/test_avro_values.c,17
lang/c/src/avropipe.c,16
lang/c/src/resolved-writer.c,16
lang/c/examples/quickstop.c,16
lang/c/src/datafile.c,16
lang/c/src/schema.c,16
lang/c/tests/test_avro_schema.c,16
lang/c/tests/test_avro_values.c,16
lang/c/src/value.c,16
lang/c++/impl/json/JsonIO.cc,15
lang/c++/test/CodecTests.cc,9
lang/c++/test/CodecTests.cc,10
lang/c++/test/CodecTests.cc,11
lang/c++/test/CodecTests.cc,12
lang/c++/test/CodecTests.cc,13
lang/c++/test/CodecTests.cc,14
lang/csharp/src/apache/main/Protocol/Message.cs,8
lang/csharp/src/apache/main/Protocol/Message.cs,9
lang/csharp/src/apache/main/Protocol/Message.cs,10
lang/csharp/src/apache/main/Protocol/Message.cs,11
lang/csharp/src/apache/main/Protocol/Message.cs,12
lang/csharp/src/apache/main/Protocol/Message.cs,13
lang/csharp/src/apache/main/Protocol/Message.cs,14
lang/csharp/src/apache/main/Protocol/Message.cs,15
lang/csharp/src/apache/main/Protocol/Message.cs,16
lang/csharp/src/apache/main/Schema/NamedSchema.cs,8
lang/csharp/src/apache/main/Schema/NamedSchema.cs,9
lang/csharp/src/apache/main/Schema/NamedSchema.cs,10
lang/csharp/src/apache/main/Schema/NamedSchema.cs,11
lang/csharp/src/apache/main/Schema/NamedSchema.cs,12
lang/csharp/src/apache/main/Schema/NamedSchema.cs,13
lang/csharp/src/apache/main/Schema/NamedSchema.cs,14
lang/csharp/src/apache/main/Schema/NamedSchema.cs,15
lang/csharp/src/apache/main/Schema/NamedSchema.cs,16
lang/csharp/src/apache/main/Schema/RecordSchema.cs,8
lang/csharp/src/apache/main/Schema/RecordSchema.cs,9
lang/csharp/src/apache/main/Schema/RecordSchema.cs,10
