Class,Buggy In Version
bookkeeper-server/src/main/java/org/apache/bookkeeper/net/BookieSocketAddress.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/net/BookieSocketAddress.java,6
bookkeeper-server/src/main/java/org/apache/bookkeeper/net/BookieSocketAddress.java,7
bookkeeper-server/src/main/java/org/apache/bookkeeper/net/BookieSocketAddress.java,8
bookkeeper-server/src/main/java/org/apache/bookkeeper/net/BookieSocketAddress.java,9
bookkeeper-server/src/main/java/org/apache/bookkeeper/net/BookieSocketAddress.java,10
bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCloseTest.java,5
bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCloseTest.java,6
bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCloseTest.java,7
bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCloseTest.java,8
bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCloseTest.java,9
bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCloseTest.java,10
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,6
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDirsManager.java,4
bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieInitializationTest.java,4
bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieShutdownTest.java,5
bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieShutdownTest.java,6
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,6
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,6
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,6
bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCloseTest.java,5
bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCloseTest.java,6
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,5
bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestPerChannelBookieClient.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,5
bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,5
bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CompactionTest.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerChecker.java,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerFragmentReplicator.java,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,4
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieShell.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/Auditor.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/AuditorElector.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/AutoRecoveryMain.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/ReplicationWorker.java,5
bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorBookieTest.java,5
bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorLedgerCheckerTest.java,5
bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AutoRecoveryMainTest.java,5
bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/TestReplicationWorker.java,5
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ZooKeeperUtil.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/ReplicationWorker.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerChecker.java,5
bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCloseTest.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,5
bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieInitializationTest.java,5
