Class,Buggy In Version
daffodil-cli/src/main/scala/edu/illinois/ncsa/daffodil/Main.scala,16
daffodil-cli/src/main/scala/edu/illinois/ncsa/daffodil/Main.scala,17
daffodil-cli/src/test/resources/edu/illinois/ncsa/daffodil/CLI/output/output9.txt,16
daffodil-cli/src/test/resources/edu/illinois/ncsa/daffodil/CLI/output/output9.txt,17
daffodil-core/src/main/scala/edu/illinois/ncsa/daffodil/dsom/ElementBase.scala,16
daffodil-core/src/main/scala/edu/illinois/ncsa/daffodil/dsom/ElementBase.scala,17
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/api/DFDLParserUnparser.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/api/DFDLParserUnparser.scala,17
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/processors/ElementRuntimeData.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/processors/ElementRuntimeData.scala,17
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/processors/Infoset.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/processors/Infoset.scala,17
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/processors/InfosetImpl.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/processors/InfosetImpl.scala,17
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/processors/Runtime.scala,16
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/processors/Runtime.scala,17
daffodil-test-ibm1/src/test/resources/test-suite/tresys-contributed/AX.tdml,16
daffodil-test-ibm1/src/test/resources/test-suite/tresys-contributed/AX.tdml,17
daffodil-cli/src/test/scala-cli/edu/illinois/ncsa/daffodil/unparsing/TestCLIUnparsing.scala,16
daffodil-cli/src/test/scala-cli/edu/illinois/ncsa/daffodil/unparsing/TestCLIUnparsing.scala,17
daffodil-runtime1/src/main/scala/edu/illinois/ncsa/daffodil/processors/PrimitivesTextNumber1.scala,16
daffodil-lib/src/main/scala/edu/illinois/ncsa/daffodil/util/Misc.scala,15
daffodil-lib/src/main/scala/edu/illinois/ncsa/daffodil/util/Misc.scala,16
daffodil-lib/src/main/scala/edu/illinois/ncsa/daffodil/util/Misc.scala,17
daffodil-lib/src/main/scala/edu/illinois/ncsa/daffodil/util/Misc.scala,18
daffodil-lib/src/main/scala/edu/illinois/ncsa/daffodil/xml/DaffodilXMLLoader.scala,15
