Class,Buggy In Version
client/console/src/main/java/org/apache/syncope/client/console/wicket/markup/html/link/VeilPopupSettings.java,35
client/console/src/main/java/org/apache/syncope/client/console/wizards/resources/ProvisionWizardBuilder.java,35
client/console/src/main/java/org/apache/syncope/client/console/wizards/resources/ResourceProvisionPanel.java,35
client/console/src/main/resources/org/apache/syncope/client/console/wizards/resources/ResourceProvisionPanel.properties,35
client/console/src/main/resources/org/apache/syncope/client/console/wizards/resources/ResourceProvisionPanel_it.properties,35
client/console/src/main/resources/org/apache/syncope/client/console/wizards/resources/ResourceProvisionPanel_pt_BR.properties,35
client/console/src/main/resources/org/apache/syncope/client/console/wizards/resources/ResourceProvisionPanel_ru.properties,35
fit/core-reference/src/test/java/org/apache/syncope/fit/core/RESTITCase.java,34
fit/core-reference/src/test/java/org/apache/syncope/fit/core/RESTITCase.java,35
client/enduser/pom.xml,35
client/enduser/src/main/resources/META-INF/resources/app/index.html,35
client/enduser/src/main/resources/META-INF/resources/app/js/app.js,35
pom.xml,35
client/enduser/src/main/java/org/apache/syncope/client/enduser/resources/InfoResource.java,35
client/enduser/src/main/java/org/apache/syncope/client/enduser/resources/UserSelfPasswordReset.java,35
client/enduser/src/main/resources/META-INF/resources/app/css/editUser.css,35
client/enduser/src/main/resources/META-INF/resources/app/views/user-credentials.html,35
client/enduser/src/main/resources/META-INF/resources/app/views/user-derived-schemas.html,35
client/enduser/src/main/resources/META-INF/resources/app/views/user-form-finish.html,35
client/enduser/src/main/resources/META-INF/resources/app/views/user-groups.html,35
client/enduser/src/main/resources/META-INF/resources/app/views/user-plain-schemas.html,35
client/enduser/src/main/resources/META-INF/resources/app/views/user-resources.html,35
client/enduser/src/main/resources/META-INF/resources/app/views/user-virtual-schemas.html,35
client/enduser/src/main/java/org/apache/syncope/client/enduser/resources/UserSelfCreateResource.java,35
client/enduser/src/main/java/org/apache/syncope/client/enduser/resources/UserSelfReadResource.java,35
client/enduser/src/main/java/org/apache/syncope/client/enduser/resources/UserSelfUpdateResource.java,35
client/enduser/src/main/resources/META-INF/resources/app/js/directives/dynamicPlainAttribute.js,35
client/console/src/main/java/org/apache/syncope/client/console/panels/ConnObjectDetails.java,35
client/console/src/main/java/org/apache/syncope/client/console/panels/Realm.java,35
client/console/src/main/java/org/apache/syncope/client/console/topology/TopologyTogglePanel.java,35
client/console/src/main/java/org/apache/syncope/client/console/wizards/any/ConnObjectPanel.java,35
client/console/src/main/java/org/apache/syncope/client/console/wizards/any/StatusPanel.java,35
fit/enduser-reference/pom.xml,35
client/console/src/main/java/org/apache/syncope/client/console/notifications/MailTemplateDirectoryPanel.java,35
client/console/src/main/java/org/apache/syncope/client/console/notifications/NotificationTasks.java,35
client/console/src/main/java/org/apache/syncope/client/console/panels/ConnObjectDetails.java,35
client/console/src/main/java/org/apache/syncope/client/console/panels/ConnObjects.java,35
client/console/src/main/java/org/apache/syncope/client/console/panels/MultilevelPanel.java,35
client/console/src/main/java/org/apache/syncope/client/console/policies/AccountPolicyDirectoryPanel.java,35
client/console/src/main/java/org/apache/syncope/client/console/policies/PasswordPolicyDirectoryPanel.java,35
client/console/src/main/java/org/apache/syncope/client/console/policies/PolicyDirectoryPanel.java,35
client/console/src/main/java/org/apache/syncope/client/console/policies/PullPolicyDirectoryPanel.java,35
