Release Index,File,LOC,LOC Thouched,LOC Added,MAX LOC Added,AVERAGE LOC Added,Num Revisions,Num Authors,Churn,MAX Churn,AVERAGE Churn,ChgSet Size,MAX ChgSetSize,AVERAGE ChgSetSize,Buggy,Num Bugs
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,27,74,36,35,18.0,2,2,35,35,17.5,454,282,227.0,No,0
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,76,1614,68,51,11.333333333333334,6,3,-671,2,-111.83333333333333,366,172,61.0,No,0
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java,32,82,41,41,41.0,1,1,41,41,41.0,282,282,282.0,No,0
1,hedwig-server/src/test/java/org/apache/hedwig/zookeeper/ZooKeeperTestBase.java,74,188,93,92,46.5,2,2,92,92,46.0,454,282,227.0,No,0
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,118,0,0,0,0.0,1,1,0,0,0.0,62,62,62.0,No,0
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,136,310,152,149,76.0,2,2,149,149,74.5,454,282,227.0,No,0
1,hedwig-server/src/test/java/org/apache/hedwig/ServerControl.java,204,1624,406,231,101.5,4,3,0,231,0.0,505,282,126.25,No,0
1,bookkeeper/src/test/java/org/apache/bookkeeper/test/CloseTest.java,60,148,74,74,74.0,1,1,74,74,74.0,282,282,282.0,No,0
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,81,382,148,103,29.6,5,3,105,103,21.0,624,282,124.8,Yes,1
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheBlackBox.java,43,108,54,54,54.0,1,1,54,54,54.0,282,282,282.0,No,0
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,55,180,79,68,39.5,2,2,68,68,34.0,454,282,227.0,Yes,1
1,hedwig-server/src/test/java/org/apache/hedwig/StubScanCallback.java,44,114,57,57,57.0,1,1,57,57,57.0,282,282,282.0,No,0
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,505,380,110,24,12.222222222222221,9,3,30,11,3.3333333333333335,422,172,46.888888888888886,Yes,5
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,46,124,62,62,62.0,1,1,62,62,62.0,282,282,282.0,No,0
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestLocalDBPersistenceManagerBlackBox.java,41,106,53,53,53.0,1,1,53,53,53.0,282,282,282.0,No,0
1,bookkeeper/src/main/java/org/apache/bookkeeper/util/StringUtils.java,78,188,94,94,94.0,1,1,94,94,94.0,282,282,282.0,No,0
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,27,70,35,35,35.0,1,1,35,35,35.0,282,282,282.0,Yes,1
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,246,136,34,24,5.666666666666667,6,3,0,1,0.0,403,172,67.16666666666667,Yes,2
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,150,370,181,176,60.333333333333336,3,2,177,176,59.0,552,282,184.0,Yes,2
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,51,184,79,65,39.5,2,2,66,65,33.0,454,282,227.0,No,0
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,64,186,47,43,15.666666666666666,3,2,1,1,0.3333333333333333,332,172,110.66666666666667,No,0
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,147,340,170,170,170.0,1,1,170,170,170.0,282,282,282.0,No,0
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,146,310,92,28,10.222222222222221,9,3,29,18,3.2222222222222223,463,172,51.44444444444444,Yes,1
1,hedwig-server/src/test/java/org/apache/hedwig/ServerControlDaemon.java,146,1156,289,171,72.25,4,3,0,171,0.0,505,282,126.25,No,0
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,211,264,91,33,13.0,7,3,50,28,7.142857142857143,383,172,54.714285714285715,Yes,3
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,170,386,193,193,193.0,1,1,193,193,193.0,36,36,36.0,Yes,1
1,bookkeeper/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,177,418,209,209,209.0,1,1,209,209,209.0,282,282,282.0,No,0
1,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,38,100,50,50,50.0,1,1,50,50,50.0,282,282,282.0,No,0
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,60,156,76,73,38.0,2,2,74,73,37.0,380,282,190.0,No,0
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,49,124,62,62,62.0,1,1,62,62,62.0,282,282,282.0,No,0
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,40,128,56,48,18.666666666666668,3,2,48,48,16.0,484,282,161.33333333333334,No,0
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,38,96,47,46,23.5,2,2,46,46,23.0,454,282,227.0,No,0
1,hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestBaseHandler.java,87,232,116,116,116.0,1,1,116,116,116.0,282,282,282.0,No,0
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java,58,154,74,61,18.5,4,2,71,61,17.75,169,98,42.25,No,0
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java,205,84,22,16,5.5,4,3,2,1,0.5,341,172,85.25,No,0
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,51,20,5,4,1.6666666666666667,3,3,0,0,0.0,253,172,84.33333333333333,Yes,1
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,23,62,30,29,15.0,2,2,29,29,14.5,454,282,227.0,Yes,1
1,hedwig-server/src/test/java/org/apache/hedwig/server/delivery/StubDeliveryManager.java,51,142,68,65,34.0,2,2,65,65,32.5,454,282,227.0,Yes,1
1,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,47,112,56,56,56.0,1,1,56,56,56.0,282,282,282.0,Yes,1
1,bookkeeper/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,80,196,98,98,98.0,1,1,98,98,98.0,282,282,282.0,No,0
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubScanCallback.java,36,124,55,48,27.5,2,2,48,48,24.0,454,282,227.0,No,0
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,20,56,28,28,28.0,1,1,28,28,28.0,282,282,282.0,No,0
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java,33,92,46,46,46.0,1,1,46,46,46.0,36,36,36.0,No,0
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,98,264,123,113,30.75,4,2,114,113,28.5,582,282,145.5,No,0
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java,100,252,122,116,40.666666666666664,3,2,118,116,39.333333333333336,151,98,50.333333333333336,No,0
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,943,1842,701,275,50.07142857142857,14,3,481,194,34.357142857142854,483,172,34.5,Yes,5
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,328,38,14,14,14.0,1,1,9,9,9.0,30,30,30.0,Yes,1
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,68,166,83,83,83.0,1,1,83,83,83.0,282,282,282.0,No,0
1,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,153,446,203,185,50.75,4,3,183,185,45.75,564,282,141.0,No,0
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,46,124,60,57,30.0,2,2,58,57,29.0,380,282,190.0,No,0
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,688,2264,930,714,155.0,6,2,728,714,121.33333333333333,229,98,38.166666666666664,Yes,1
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,37,84,42,42,42.0,1,1,42,42,42.0,30,30,30.0,No,0
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java,87,236,111,104,55.5,2,2,104,104,52.0,454,282,227.0,No,0
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,485,2268,636,407,70.66666666666667,9,3,138,59,15.333333333333334,480,172,53.333333333333336,Yes,1
1,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,117,276,138,138,138.0,1,1,138,138,138.0,282,282,282.0,Yes,1
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,64,156,78,78,78.0,1,1,78,78,78.0,28,28,28.0,No,0
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,112,326,150,136,37.5,4,2,137,136,34.25,582,282,145.5,Yes,2
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,65,170,85,85,85.0,1,1,85,85,85.0,282,282,282.0,No,0
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/BookKeeperTestBase.java,143,408,186,126,23.25,8,3,168,126,21.0,637,282,79.625,Yes,1
1,bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,69,160,80,80,80.0,1,1,80,80,80.0,282,282,282.0,No,0
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,30,84,40,38,20.0,2,2,38,38,19.0,454,282,227.0,No,0
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,383,984,472,450,118.0,4,2,452,450,113.0,554,282,138.5,Yes,1
