Release Index,File,LOC,LOC Thouched,LOC Added,MAX LOC Added,AVERAGE LOC Added,Num Revisions,Num Authors,Churn,MAX Churn,AVERAGE Churn,ChgSet Size,MAX ChgSetSize,AVERAGE ChgSetSize,Buggy,Num Bugs
14,src/test/java/org/apache/distributedlog/TestBKDistributedLogManager.java,1100,312,77,45,25.666666666666668,3,2,-2,4,-0.6666666666666666,257,253,85.66666666666667,?,0
14,src/test/java/org/apache/distributedlog/TestWriteLimiter.java,187,34,10,10,10.0,1,1,3,3,3.0,253,253,253.0,?,0
14,src/main/java/org/apache/distributedlog/impl/acl/package-info.java,19,42,21,21,21.0,1,1,21,21,21.0,253,253,253.0,?,0
14,site/docs/4.6.0/deployment/kubernetes.md,4,8,4,4,4.0,1,1,4,4,4.0,30,30,30.0,?,0
14,site/docs/latest/getting-started/installation.md,53,12,3,3,3.0,1,1,0,0,0.0,2,2,2.0,?,0
14,bookkeeper-server/src/main/java/org/apache/bookkeeper/server/service/package-info.java,18,44,22,22,22.0,1,1,22,22,22.0,40,40,40.0,?,0
14,site/img/favicon.ico,6,0,0,0,0.0,1,1,0,0,0.0,14,14,14.0,?,0
14,src/main/java/org/apache/distributedlog/admin/package-info.java,19,4,1,1,1.0,1,1,0,0,0.0,253,253,253.0,?,0
14,site/docs/latest/deployment/kubernetes.md,127,40,19,19,19.0,1,1,18,18,18.0,2,2,2.0,?,0
14,dlfs/src/test/java/org/apache/distributedlog/fs/TestDLFileSystem.java,196,458,229,229,229.0,1,1,229,229,229.0,9,9,9.0,?,0
14,site/docs/4.5.0/overview/overview.md,44,52,14,11,7.0,2,2,2,2,1.0,19,14,9.5,?,0
14,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ReadOnlyBookie.java,53,8,2,2,2.0,1,1,0,0,0.0,11,11,11.0,?,0
14,bookkeeper-server/src/main/java/org/apache/bookkeeper/versioning/Versioned.java,27,62,10,10,10.0,1,1,-11,0,-11.0,33,33,33.0,?,0
14,bookkeeper-server/src/main/java/org/apache/bookkeeper/zookeeper/package-info.java,19,46,23,23,23.0,1,1,23,23,23.0,33,33,33.0,?,0
14,site/docs/4.5.1/getting-started/installation.md,53,148,74,74,74.0,1,1,74,74,74.0,30,30,30.0,?,0
14,site/docs/4.5.1/getting-started/run-locally.md,12,32,16,16,16.0,1,1,16,16,16.0,30,30,30.0,?,0
14,src/main/java/org/apache/distributedlog/injector/FailureInjector.java,31,4,1,1,1.0,1,1,0,0,0.0,253,253,253.0,?,0
14,site/img/bk-logo.png,1119,0,0,0,0.0,1,1,0,0,0.0,14,14,14.0,?,0
14,src/test/java/org/apache/distributedlog/lock/TestZKSessionLock.java,1048,210,58,58,58.0,1,1,11,11,11.0,253,253,253.0,?,0
14,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/TransactionalEntryLogCompactor.java,341,776,388,388,388.0,1,1,388,388,388.0,10,10,10.0,?,0
14,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandleAdv.java,215,158,40,24,13.333333333333334,3,3,1,13,0.3333333333333333,65,55,21.666666666666668,?,0
14,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,1707,3070,657,513,109.5,6,3,-221,28,-36.833333333333336,14,7,2.3333333333333335,?,0
14,bookkeeper-http/http-server/src/main/java/org/apache/bookkeeper/http/HttpRouter.java,84,102,47,47,47.0,1,1,43,43,43.0,49,49,49.0,?,0
14,site/docs/4.6.0/deployment/dcos.md,91,284,142,142,142.0,1,1,142,142,142.0,30,30,30.0,?,0
14,src/main/java/org/apache/distributedlog/BKLogHandler.java,661,70,21,21,21.0,1,1,7,7,7.0,253,253,253.0,?,0
14,bookkeeper-server/src/main/java/org/apache/bookkeeper/versioning/LongVersion.java,56,4,1,1,1.0,1,1,0,0,0.0,33,33,33.0,?,0
14,src/main/java/org/apache/distributedlog/impl/acl/ZKAccessControlManager.java,345,124,35,35,35.0,1,1,8,8,8.0,253,253,253.0,?,0
14,buildtools/src/main/resources/bookkeeper/findbugsExclude.xml,88,74,37,21,18.5,2,2,37,21,18.5,77,55,38.5,?,0
14,src/main/java/org/apache/distributedlog/zk/ZKTransaction.java,91,4,1,1,1.0,1,1,0,0,0.0,253,253,253.0,?,0
14,bookkeeper-server/src/main/java/org/apache/bookkeeper/discover/RegistrationManager.java,89,216,108,108,108.0,1,1,108,108,108.0,15,15,15.0,?,0
14,bookkeeper-server/src/test/java/org/apache/bookkeeper/auth/TestAuth.java,676,52,14,14,14.0,1,1,2,2,2.0,25,25,25.0,?,0
14,src/main/java/org/apache/distributedlog/zk/DefaultZKOp.java,44,4,1,1,1.0,1,1,0,0,0.0,253,253,253.0,?,0
14,src/test/java/org/apache/distributedlog/config/TestDynamicDistributedLogConfiguration.java,242,18,6,6,6.0,1,1,3,3,3.0,253,253,253.0,?,0
14,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/api/BookKeeper.java,59,146,73,73,73.0,1,1,73,73,73.0,55,55,55.0,?,0
14,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/LogExceptionRunnable.java,42,108,54,54,54.0,1,1,54,54,54.0,6,6,6.0,?,0
14,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/IndexPersistenceMgrTest.java,232,292,141,137,70.5,2,2,136,136,68.0,7,5,3.5,?,0
14,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,550,8,3,3,3.0,1,1,2,2,2.0,55,55,55.0,?,0
14,src/main/java/org/apache/distributedlog/impl/BKNamespaceDriver.java,577,128,37,37,37.0,1,1,10,10,10.0,253,253,253.0,?,0
14,site/docs/4.5.1/admin/upgrade.md,49,146,73,73,73.0,1,1,73,73,73.0,30,30,30.0,?,0
14,src/test/java/org/apache/distributedlog/impl/TestZKLogSegmentFilters.java,66,38,12,12,12.0,1,1,5,5,5.0,253,253,253.0,?,0
14,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/api/BKException.java,220,472,236,236,236.0,1,1,236,236,236.0,55,55,55.0,?,0
14,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/conf/package-info.java,19,42,21,21,21.0,1,1,21,21,21.0,40,40,40.0,?,0
14,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperAdminTest.java,209,12,3,2,1.5,2,2,0,0,0.0,44,40,22.0,?,0
14,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/annotation/package-info.java,18,0,0,0,0.0,1,1,0,0,0.0,40,40,40.0,?,0
14,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java,49,10,2,2,2.0,1,1,-1,0,-1.0,25,25,25.0,?,0
14,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestDelayEnsembleChange.java,322,8,2,2,2.0,1,1,0,0,0.0,55,55,55.0,?,0
14,bookkeeper-server/src/main/java/org/apache/bookkeeper/feature/SettableFeatureProvider.java,34,10,2,2,2.0,1,1,-1,0,-1.0,33,33,33.0,?,0
14,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/annotation/InterfaceStability.java,41,0,0,0,0.0,1,1,0,0,0.0,40,40,40.0,?,0
14,site/docs/4.6.0/api/ledger-adv-api.md,59,164,82,82,82.0,1,1,82,82,82.0,30,30,30.0,?,0
14,src/main/java/org/apache/distributedlog/api/DistributedLogManager.java,374,280,83,59,41.5,2,1,26,24,13.0,256,253,128.0,?,0
14,site/docs/4.5.1/reference/cli.md,7,20,10,10,10.0,1,1,10,10,10.0,30,30,30.0,?,0
14,pom.xml,35,472,217,126,18.083333333333332,12,5,198,126,16.5,416,253,34.666666666666664,?,0
14,site/docs/4.5.1/reference/config.md,6,18,9,9,9.0,1,1,9,9,9.0,30,30,30.0,?,0
14,src/main/java/org/apache/distributedlog/impl/logsegment/BKLogSegmentEntryReader.java,786,84,23,23,23.0,1,1,4,4,4.0,253,253,253.0,?,0
14,src/main/java/org/apache/distributedlog/util/Allocator.java,85,66,16,16,16.0,1,1,-1,0,-1.0,253,253,253.0,?,0
14,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1420,828,147,96,73.5,2,1,-120,42,-60.0,26,15,13.0,?,0
14,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,1350,1254,360,299,90.0,4,3,93,112,23.25,106,55,26.5,?,0
14,src/main/java/org/apache/distributedlog/logsegment/LogSegmentFilter.java,35,8,2,2,2.0,1,1,0,0,0.0,253,253,253.0,?,0
14,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,1302,612,163,97,81.5,2,2,20,20,10.0,80,55,40.0,?,0
14,site/docs/4.5.1/development/codebase.md,3,6,3,3,3.0,1,1,3,3,3.0,30,30,30.0,?,0
14,bookkeeper-server/src/test/java/org/apache/bookkeeper/versioning/TestLongVersion.java,46,12,3,3,3.0,1,1,0,0,0.0,2,2,2.0,?,0
14,bookkeeper-server/src/main/java/org/apache/bookkeeper/processor/RequestProcessor.java,35,14,5,5,5.0,1,1,3,3,3.0,33,33,33.0,?,0
