Release Index,File,LOC,LOC Thouched,LOC Added,MAX LOC Added,AVERAGE LOC Added,Num Revisions,Num Authors,Churn,MAX Churn,AVERAGE Churn,ChgSet Size,MAX ChgSetSize,AVERAGE ChgSetSize,Buggy,Num Bugs
1,common/src/main/java/org/apache/falcon/entity/EntityNotRegisteredException.java,24,30,9,3,2.25,4,2,3,3,0.75,848,289,212.0,No,0
1,prism/src/main/java/org/apache/ivory/resource/AbstractSchedulableEntityManager.java,131,918,287,162,20.5,14,4,115,162,8.214285714285714,251,49,17.928571428571427,No,0
1,common/src/main/java/org/apache/airavat/entity/parser/ProcessEntityParser.java,57,604,191,64,15.916666666666666,12,2,80,51,6.666666666666667,96,23,8.0,No,0
1,common/src/main/java/org/apache/ivory/entity/v0/dataset/MetaInfo.java,68,352,88,87,29.333333333333332,3,1,0,87,0.0,183,95,61.0,No,0
1,common/src/main/java/org/apache/airavat/entity/v0/OutputsType.java,62,156,76,74,25.333333333333332,3,1,74,74,24.666666666666668,73,34,24.333333333333332,No,0
1,common/src/main/java/org/apache/falcon/util/DeploymentProperties.java,44,98,26,11,6.5,4,2,3,3,0.75,848,289,212.0,No,0
1,common/src/main/java/org/apache/falcon/entity/common/Configuration.java,60,298,38,33,7.6,5,2,-73,3,-14.6,893,289,178.6,No,0
1,common/src/main/java/org/apache/airavat/mappers/DozerManager.java,39,110,55,55,55.0,1,1,55,55,55.0,13,13,13.0,No,0
1,common/src/main/java/org/apache/ivory/entity/v0/cluster/Interfaces.java,64,152,76,76,76.0,1,1,76,76,76.0,16,16,16.0,No,0
1,oozie/src/test/java/org/apache/ivory/oozie/coordinator/CoordinatorUnmarshallingTest.java,43,28,7,2,1.4,5,5,0,0,0.0,180,80,36.0,No,0
1,common/src/main/java/org/apache/ivory/entity/v0/cluster/Properties.java,62,148,74,74,74.0,1,1,74,74,74.0,16,16,16.0,No,0
1,common/src/main/java/org/apache/ivory/security/IvoryPrincipal.java,25,140,70,35,35.0,2,2,70,35,35.0,24,12,12.0,No,0
1,prism/src/main/java/org/apache/falcon/util/EmbeddedServer.java,41,82,22,16,5.5,4,2,3,3,0.75,807,289,201.75,No,0
1,common/src/main/java/org/apache/ivory/entity/v0/datastore/adapter/ConfigurationTypeAdapter.java,47,308,77,73,25.666666666666668,3,1,0,73,0.0,110,63,36.666666666666664,No,0
