Release Index,File,LOC,LOC Thouched,LOC Added,MAX LOC Added,AVERAGE LOC Added,Num Revisions,Num Authors,Churn,MAX Churn,AVERAGE Churn,ChgSet Size,MAX ChgSetSize,AVERAGE ChgSetSize,Buggy,Num Bugs
52,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/job/notification/DefaultNotificationJobDelegate.java,232,84,1,1,1.0,1,1,-40,0,-40.0,19,19,19.0,?,0
52,common/am/lib/src/main/java/org/apache/syncope/common/lib/auth/OIDCAuthModuleConf.java,130,30,1,1,1.0,1,1,-13,0,-13.0,300,300,300.0,?,0
52,fit/core-reference/src/test/java/org/apache/syncope/fit/core/SearchITCase.java,685,40,16,15,5.333333333333333,3,1,12,13,4.0,312,229,104.0,?,0
52,ext/saml2sp4ui/client-console/src/main/java/org/apache/syncope/client/console/pages/SAML2SPLogin.java,54,14,3,3,3.0,1,1,-1,0,-1.0,229,229,229.0,?,0
52,ext/saml2sp4ui/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/validation/entity/SAML2SP4UIIdPCheck.java,31,12,3,3,3.0,1,1,0,0,0.0,229,229,229.0,?,0
52,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/auth/JPASAML2SPMetadataDAO.java,50,124,62,62,62.0,1,1,62,62,62.0,66,66,66.0,?,0
52,ext/oidcc4ui/client-console/src/main/resources/org/apache/syncope/client/console/wizards/OIDCProviderWizardBuilder$OPContinue.properties,21,0,0,0,0.0,1,1,0,0,0.0,167,167,167.0,?,0
52,client/idrepo/console/src/main/resources/org/apache/syncope/client/console/panels/AccessTokenDirectoryPanel_pt_BR.properties,19,4,1,1,1.0,1,1,0,0,0.0,36,36,36.0,?,0
52,client/am/console/src/main/java/org/apache/syncope/client/console/panels/SRARoutePredicatePanel.java,131,76,19,19,19.0,1,1,0,0,0.0,72,72,72.0,?,0
52,ext/oidcclient/client-console/src/main/java/org/apache/syncope/client/console/wizards/mapping/OIDCProviderMappingPanel.java,85,4,1,1,1.0,1,1,0,0,0.0,229,229,229.0,?,0
52,ext/oidcc4ui/client-enduser/src/main/resources/org/apache/syncope/client/enduser/panels/OIDCSSOLoginFormPanel.html,20,0,0,0,0.0,1,1,0,0,0.0,167,167,167.0,?,0
52,fit/console-reference/pom.xml,312,20,5,2,1.6666666666666667,3,1,0,0,0.0,696,300,232.0,?,0
52,fit/core-reference/src/test/java/org/apache/syncope/fit/core/PushTaskITCase.java,416,54,12,12,12.0,1,1,-3,0,-3.0,15,15,15.0,?,0
52,client/idrepo/console/src/main/java/org/apache/syncope/client/console/pages/Logout.java,26,2,0,0,0.0,1,1,-1,0,-1.0,229,229,229.0,?,0
52,fit/core-reference/src/test/java/org/apache/syncope/fit/core/AbstractNotificationTaskITCase.java,81,82,16,15,8.0,2,2,-9,0,-4.5,154,139,77.0,?,0
52,common/idrepo/lib/src/main/java/org/apache/syncope/common/lib/to/ConnObjectTO.java,60,36,6,6,6.0,1,1,-6,0,-6.0,300,300,300.0,?,0
52,ide/netbeans/NOTICE,21,4,1,1,1.0,1,1,0,0,0.0,11,11,11.0,?,0
52,sra/src/main/java/org/apache/syncope/sra/security/saml2/SAML2SecurityConfigUtils.java,80,238,109,96,36.333333333333336,3,2,99,96,33.0,86,41,28.666666666666668,?,0
52,sra/src/main/java/org/apache/syncope/sra/session/SessionUtils.java,30,78,39,39,39.0,1,1,39,39,39.0,28,28,28.0,?,0
52,ext/oidcc4ui/rest-cxf/src/main/java/org/apache/syncope/core/rest/cxf/service/OIDCC4UIProviderServiceImpl.java,61,40,10,10,10.0,1,1,0,0,0.0,167,167,167.0,?,0
52,client/idrepo/enduser/src/main/resources/org/apache/syncope/client/enduser/markup/html/form/BinaryFieldPanel_ja.properties,15,34,0,0,0.0,1,1,-17,0,-17.0,18,18,18.0,?,0
52,common/am/lib/src/main/java/org/apache/syncope/common/lib/types/GatewayRouteFilter.java,80,16,2,2,2.0,1,1,-4,0,-4.0,300,300,300.0,?,0
52,core/persistence-jpa/src/test/java/org/apache/syncope/core/persistence/jpa/inner/ImplementationTest.java,68,18,1,1,1.0,1,1,-7,0,-7.0,59,59,59.0,?,0
52,core/spring/src/main/java/org/apache/syncope/core/spring/security/jws/AccessTokenJWSVerifier.java,71,174,87,87,87.0,1,1,87,87,87.0,36,36,36.0,?,0
52,core/provisioning-api/src/main/java/org/apache/syncope/core/provisioning/api/data/SRARouteDataBinder.java,21,20,5,5,5.0,1,1,0,0,0.0,72,72,72.0,?,0
52,fit/core-reference/src/main/java/org/apache/syncope/fit/core/reference/CustomJWTSSOProvider.java,90,90,28,28,28.0,1,1,11,11,11.0,36,36,36.0,?,0
52,client/am/console/src/main/java/org/apache/syncope/client/console/panels/GatewayRouteWizardBuilder.java,97,16,0,0,0.0,1,1,-8,0,-8.0,40,40,40.0,?,0
52,core/spring/src/main/java/org/apache/syncope/core/spring/security/SyncopeJWTSSOProvider.java,90,70,20,20,20.0,1,1,5,5,5.0,36,36,36.0,?,0
52,ext/oidcclient/common-lib/src/main/java/org/apache/syncope/common/lib/to/OIDCProviderTO.java,167,48,8,8,8.0,1,1,-8,0,-8.0,300,300,300.0,?,0
52,ext/saml2sp4ui/persistence-api/src/main/java/org/apache/syncope/core/persistence/api/dao/SAML2SP4UIIdPDAO.java,24,26,6,6,6.0,1,1,-1,0,-1.0,229,229,229.0,?,0
52,client/idrepo/console/src/test/java/org/apache/syncope/client/console/AbstractTest.java,243,12,6,6,6.0,1,1,6,6,6.0,20,20,20.0,?,0
52,common/idrepo/lib/src/main/java/org/apache/syncope/common/lib/types/LoggerType.java,35,4,0,0,0.0,1,1,-2,0,-2.0,300,300,300.0,?,0
52,fit/core-reference/src/main/resources/postgres/domains/Master.properties,24,4,1,1,1.0,1,1,0,0,0.0,17,17,17.0,?,0
52,common/idrepo/lib/src/main/java/org/apache/syncope/common/lib/types/UnmatchingRule.java,41,6,0,0,0.0,1,1,-3,0,-3.0,300,300,300.0,?,0
52,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/auth/JPACASSPDAO.java,75,190,95,95,95.0,1,1,95,95,95.0,14,14,14.0,?,0
52,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/BaseEnduserWebPage.java,35,2,0,0,0.0,1,1,-1,0,-1.0,20,20,20.0,?,0
52,ext/saml2sp4ui/pom.xml,46,108,54,54,54.0,1,1,54,54,54.0,229,229,229.0,?,0
52,ext/oidcc4ui/rest-api/src/main/java/org/apache/syncope/common/rest/api/service/OIDCC4UIService.java,76,52,12,12,12.0,1,1,-2,0,-2.0,167,167,167.0,?,0
52,client/am/console/src/main/java/org/apache/syncope/client/console/pages/SRA.java,60,20,5,5,5.0,1,1,0,0,0.0,72,72,72.0,?,0
52,fit/build-tools/src/main/resources/content.ldif,52,4,1,1,1.0,1,1,0,0,0.0,229,229,229.0,?,0
52,ext/saml2sp4ui/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/JPASAML2SP4UIIdPItem.java,69,36,9,9,9.0,1,1,0,0,0.0,229,229,229.0,?,0
52,common/idrepo/lib/src/main/java/org/apache/syncope/common/lib/policy/AccountPolicyTO.java,59,50,9,9,9.0,1,1,-7,0,-7.0,300,300,300.0,?,0
52,common/am/rest-api/src/main/java/org/apache/syncope/common/rest/api/service/wa/SAML2IdPMetadataService.java,88,14,4,4,4.0,1,1,1,1,1.0,66,66,66.0,?,0
52,core/persistence-jpa-json/src/test/resources/myjson/domains/Master.properties,24,56,28,28,28.0,1,1,28,28,28.0,17,17,17.0,?,0
52,client/am/console/src/main/java/org/apache/syncope/client/console/panels/SRARouteFilterPanel.java,122,64,16,16,16.0,1,1,0,0,0.0,72,72,72.0,?,0
52,ext/oidcc4ui/client-console/src/main/java/org/apache/syncope/client/console/panels/OIDCProvidersDirectoryPanel.java,232,130,33,33,33.0,1,1,1,1,1.0,167,167,167.0,?,0
52,core/persistence-api/src/main/java/org/apache/syncope/core/persistence/api/dao/auth/CASSPDAO.java,27,82,41,41,41.0,1,1,41,41,41.0,14,14,14.0,?,0
52,fit/wa-reference/src/test/java/org/apache/syncope/fit/sra/SAML2SRAITCase.java,182,722,289,282,72.25,4,2,217,282,54.25,315,229,78.75,?,0
52,common/idrepo/lib/src/main/java/org/apache/syncope/common/lib/policy/ProvisioningPolicyTO.java,35,20,0,0,0.0,1,1,-10,0,-10.0,300,300,300.0,?,0
52,common/idrepo/lib/src/main/java/org/apache/syncope/common/lib/types/PatchOperation.java,19,6,0,0,0.0,1,1,-3,0,-3.0,300,300,300.0,?,0
52,ext/oidcc4ui/rest-api/pom.xml,68,28,7,7,7.0,1,1,0,0,0.0,167,167,167.0,?,0
52,sra/src/main/java/org/apache/syncope/sra/security/saml2/SAML2WebSsoAuthenticationRequestWebFilter.java,51,206,84,67,28.0,3,2,65,67,21.666666666666668,86,41,28.666666666666668,?,0
52,ext/oidcc4ui/common-lib/src/main/java/org/apache/syncope/common/lib/to/OIDCC4UIProviderTO.java,167,20,5,5,5.0,1,1,0,0,0.0,167,167,167.0,?,0
52,ide/netbeans/src/main/java/org/apache/syncope/ide/netbeans/view/ResourceExplorerTopComponent.java,633,96,19,19,19.0,1,1,-10,0,-10.0,33,33,33.0,?,0
52,wa/starter/src/main/java/org/apache/syncope/wa/starter/config/SyncopeWAConfiguration.java,235,578,185,87,26.428571428571427,7,1,81,21,11.571428571428571,250,139,35.714285714285715,?,0
52,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/pushpull/stream/StreamPullJobDelegate.java,222,4,1,1,1.0,1,1,0,0,0.0,1,1,1.0,?,0
52,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/JPAAccessTokenDAO.java,116,4,1,1,1.0,1,1,0,0,0.0,36,36,36.0,?,0
52,common/idrepo/lib/src/main/java/org/apache/syncope/common/lib/types/ResourceDeassociationAction.java,29,6,0,0,0.0,1,1,-3,0,-3.0,300,300,300.0,?,0
52,client/am/console/src/main/resources/org/apache/syncope/client/console/pages/SRA_it.properties,28,24,8,8,8.0,1,1,4,4,4.0,72,72,72.0,?,0
52,client/idrepo/lib/src/main/java/org/apache/syncope/client/lib/SyncopeClientFactoryBean.java,232,296,69,33,23.0,3,2,-10,17,-3.3333333333333335,343,300,114.33333333333333,?,0
52,common/idrepo/lib/src/main/java/org/apache/syncope/common/lib/request/AnyObjectUR.java,124,48,9,9,9.0,1,1,-6,0,-6.0,300,300,300.0,?,0
52,core/am/rest-cxf/src/main/java/org/apache/syncope/core/rest/cxf/service/SAML2SPMetadataServiceImpl.java,29,8,2,2,2.0,1,1,0,0,0.0,139,139,139.0,?,0
52,common/idrepo/lib/src/main/java/org/apache/syncope/common/lib/types/JobAction.java,20,6,0,0,0.0,1,1,-3,0,-3.0,300,300,300.0,?,0
52,core/persistence-api/src/main/java/org/apache/syncope/core/persistence/api/dao/auth/SAML2SPMetadataDAO.java,22,64,32,32,32.0,1,1,32,32,32.0,66,66,66.0,?,0
52,wa/starter/src/main/resources/wa.properties,46,50,17,8,4.25,4,1,9,6,2.25,255,139,63.75,?,0
52,ext/oidcclient/agent/src/main/resources/META-INF/spring.factories,16,38,0,0,0.0,1,1,-19,0,-19.0,167,167,167.0,?,0
52,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/auth/JPASAML2IdPMetadataDAO.java,50,124,62,62,62.0,1,1,62,62,62.0,26,26,26.0,?,0
52,ext/saml2sp/logic/src/main/resources/saml2sp-logic.properties,21,48,0,0,0.0,1,1,-24,0,-24.0,229,229,229.0,?,0
52,fit/build-tools/pom.xml,432,58,18,7,3.6,5,2,7,5,1.4,357,300,71.4,?,0
52,common/idrepo/lib/src/main/java/org/apache/syncope/common/lib/types/CipherAlgorithm.java,43,6,0,0,0.0,1,1,-3,0,-3.0,300,300,300.0,?,0
52,common/idrepo/lib/src/main/java/org/apache/syncope/common/lib/search/package-info.java,28,64,0,0,0.0,1,1,-32,0,-32.0,300,300,300.0,?,0
52,core/spring/src/main/java/org/apache/syncope/core/spring/security/JWTAuthenticationFilter.java,98,106,34,26,17.0,2,2,15,14,7.5,55,36,27.5,?,0
52,common/idrepo/lib/src/main/java/org/apache/syncope/common/lib/request/AbstractPatchItem.java,62,12,0,0,0.0,1,1,-6,0,-6.0,300,300,300.0,?,0
52,ext/saml2sp/agent/src/main/resources/META-INF/resources/saml2sp/logoutSuccess.jsp,25,54,0,0,0.0,1,1,-27,0,-27.0,229,229,229.0,?,0
52,common/am/rest-api/src/main/java/org/apache/syncope/common/rest/api/service/AuthModuleService.java,111,12,3,3,3.0,1,1,0,0,0.0,26,26,26.0,?,0
52,ext/saml2sp4ui/client-console/src/main/resources/org/apache/syncope/client/console/panels/SAML2SPPanel.html,25,0,0,0,0.0,1,1,0,0,0.0,229,229,229.0,?,0
52,ext/oidcc4ui/client-console/src/main/resources/org/apache/syncope/client/console/wizards/OIDCProviderWizardBuilder$OP.html,27,0,0,0,0.0,1,1,0,0,0.0,167,167,167.0,?,0
52,ext/oidcc4ui/client-console/src/main/resources/org/apache/syncope/client/console/wizards/OIDCProviderWizardBuilder$OPContinue_ru.properties,21,0,0,0,0.0,1,1,0,0,0.0,167,167,167.0,?,0
52,common/am/lib/src/main/java/org/apache/syncope/common/lib/to/client/SAML2SPTO.java,171,30,5,4,2.5,2,2,-5,0,-2.5,328,300,164.0,?,0
52,fit/core-reference/src/test/java/org/apache/syncope/fit/AbstractITCase.java,692,646,197,46,11.588235294117647,17,2,71,46,4.176470588235294,1291,300,75.94117647058823,?,0
52,common/am/lib/src/main/java/org/apache/syncope/common/lib/types/AMEntitlement.java,90,172,81,14,8.1,10,1,76,14,7.6,375,139,37.5,?,0
52,ext/saml2sp4ui/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/JPASAML2SP4UIIdPDAO.java,64,62,16,16,16.0,1,1,1,1,1.0,229,229,229.0,?,0
52,common/idrepo/lib/src/main/java/org/apache/syncope/common/lib/policy/HaveIBeenPwnedPasswordRuleConf.java,18,10,0,0,0.0,1,1,-5,0,-5.0,300,300,300.0,?,0
