@RELATION finalTableAVRO

@ATTRIBUTE releaseindex REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE locthouched REAL
@ATTRIBUTE locadded REAL
@ATTRIBUTE maxlocadded REAL
@ATTRIBUTE averagelocadded REAL
@ATTRIBUTE numrevisions REAL
@ATTRIBUTE numauthors REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE averagechurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE averagechgsetsize REAL
@ATTRIBUTE buggy {No,Yes}

@DATA
1,27,72,36,18,18.0,2,1,36,18,18.0,91,54,45.5,No
1,112,266,133,114,66.5,2,1,133,114,66.5,67,38,33.5,No
1,116,362,174,151,58.0,3,1,167,151,55.666666666666664,106,54,35.333333333333336,No
1,0,556,139,139,69.5,2,1,0,139,0.0,69,54,34.5,No
1,176,442,221,202,110.5,2,1,221,202,110.5,67,38,33.5,No
1,59,152,76,57,38.0,2,1,76,57,38.0,59,30,29.5,No
1,64,186,93,74,46.5,2,1,93,74,46.5,59,30,29.5,No
1,29,78,39,21,19.5,2,1,39,21,19.5,91,54,45.5,No
1,2079,13974,4658,2329,1552.6666666666667,3,1,2329,2329,776.3333333333334,331,111,110.33333333333333,No
1,128,330,165,147,82.5,2,1,165,147,82.5,91,54,45.5,No
1,71,216,108,90,54.0,2,1,108,90,54.0,91,54,45.5,No
1,79,208,103,78,34.333333333333336,3,1,102,77,34.0,71,30,23.666666666666668,No
1,29,78,39,21,19.5,2,1,39,21,19.5,91,54,45.5,No
1,49,140,70,51,35.0,2,1,70,51,35.0,59,30,29.5,No
1,70,210,105,86,52.5,2,1,105,86,52.5,59,30,29.5,No
1,72,182,91,72,45.5,2,1,91,72,45.5,59,30,29.5,No
1,101,272,132,102,66.0,2,1,128,102,64.0,67,38,33.5,No
1,97,292,146,128,73.0,2,1,146,128,73.0,91,54,45.5,No
1,79,232,116,97,58.0,2,1,116,97,58.0,59,30,29.5,No
1,68,214,105,84,26.25,4,1,103,84,25.75,109,38,27.25,No
1,61,160,80,61,40.0,2,1,80,61,40.0,59,30,29.5,No
1,66,202,101,83,50.5,2,1,101,83,50.5,52,37,26.0,No
1,67,268,118,76,39.333333333333336,3,1,102,76,34.0,63,30,21.0,No
1,48,124,62,44,31.0,2,1,62,44,31.0,91,54,45.5,No
1,138,388,194,176,97.0,2,1,194,176,97.0,91,54,45.5,No
1,67,184,92,74,46.0,2,1,92,74,46.0,91,54,45.5,No
1,19,56,28,18,14.0,2,1,28,18,14.0,41,29,20.5,No
1,92,260,130,111,65.0,2,1,130,111,65.0,59,30,29.5,No
1,232,596,298,280,149.0,2,1,298,280,149.0,91,54,45.5,No
1,4238,9778,4889,4889,4889.0,1,1,4889,4889,4889.0,38,38,38.0,No
1,44,110,55,36,27.5,2,1,55,36,27.5,59,30,29.5,No
1,66,192,96,78,48.0,2,1,96,78,48.0,91,54,45.5,Yes
1,47,116,58,39,29.0,2,1,58,39,29.0,59,30,29.5,No
1,64,174,86,62,28.666666666666668,3,1,85,61,28.333333333333332,71,30,23.666666666666668,No
1,433,1128,553,526,184.33333333333334,3,1,542,526,180.66666666666666,106,54,35.333333333333336,No
1,691,1684,842,842,842.0,1,1,842,842,842.0,38,38,38.0,No
1,78,198,98,74,32.666666666666664,3,1,97,74,32.333333333333336,63,30,21.0,No
1,17,48,24,24,24.0,1,1,24,24,24.0,12,12,12.0,No
