Num Training Releases,% Training,% Defective In Training,% Defective In Testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa
3,0.270042194092827,0.015625,0.09248554913294797,RandomForest,None,Yes,0,0,157,16,NaN,0.0,0.4745222929936306,0.0
4,0.915057915057915,0.07172995780590717,0.13636363636363635,RandomForest,None,Yes,0,0,19,3,NaN,0.0,0.7894736842105263,0.0
5,0.9847908745247148,0.07722007722007722,0.25,RandomForest,None,Yes,0,0,3,1,NaN,0.0,0.6666666666666666,0.0
6,0.8945578231292517,0.07984790874524715,0.03225806451612903,RandomForest,None,Yes,0,1,29,1,0.0,0.0,0.9666666666666667,-0.03333333333333482
9,0.84251968503937,0.06853582554517133,0.016666666666666666,RandomForest,None,Yes,0,3,56,1,0.0,0.0,0.940677966101695,-0.025641025641026254
10,0.8485523385300668,0.06036745406824147,0.16176470588235295,RandomForest,None,Yes,0,0,57,11,NaN,0.0,0.5518341307814992,0.0
11,0.8944223107569721,0.0757238307349666,0.03773584905660377,RandomForest,None,Yes,0,1,50,2,0.0,0.0,0.7303921568627451,-0.02580645161290233
12,0.8730434782608696,0.07171314741035857,0.0136986301369863,RandomForest,None,Yes,0,0,72,1,NaN,0.0,0.7152777777777778,0.0
13,0.8730434782608696,0.07171314741035857,0.0136986301369863,RandomForest,None,Yes,0,0,72,1,NaN,0.0,0.7152777777777778,0.0
14,0.8730434782608696,0.07171314741035857,0.0136986301369863,RandomForest,None,Yes,0,0,72,1,NaN,0.0,0.7152777777777778,0.0
15,0.9214743589743589,0.06434782608695652,0.10204081632653061,RandomForest,None,Yes,0,0,44,5,NaN,0.0,0.29772727272727273,0.0
16,0.9214743589743589,0.06434782608695652,0.10204081632653061,RandomForest,None,Yes,0,0,44,5,NaN,0.0,0.29772727272727273,0.0
18,0.8987161198288159,0.06666666666666667,0.09859154929577464,RandomForest,None,Yes,0,0,64,7,NaN,0.0,0.53125,0.0
19,0.9901129943502824,0.06990014265335236,0.5714285714285714,RandomForest,None,Yes,0,0,3,4,NaN,0.0,0.75,0.0
20,0.9779005524861878,0.0748587570621469,0.1875,RandomForest,None,Yes,0,1,12,3,0.0,0.0,0.6666666666666666,-0.10344827586206896
3,0.270042194092827,0.015625,0.09248554913294797,NaiveBayes,None,Yes,0,0,157,16,NaN,0.0,0.27985668789808915,0.0
4,0.915057915057915,0.07172995780590717,0.13636363636363635,NaiveBayes,None,Yes,0,1,18,3,0.0,0.0,0.7894736842105263,-0.07317073170731683
5,0.9847908745247148,0.07722007722007722,0.25,NaiveBayes,None,Yes,0,0,3,1,NaN,0.0,0.0,0.0
6,0.8945578231292517,0.07984790874524715,0.03225806451612903,NaiveBayes,None,Yes,0,0,30,1,NaN,0.0,0.9666666666666667,0.0
9,0.84251968503937,0.06853582554517133,0.016666666666666666,NaiveBayes,None,Yes,1,6,53,0,0.14285714285714285,1.0,0.9152542372881356,0.22746781115879863
10,0.8485523385300668,0.06036745406824147,0.16176470588235295,NaiveBayes,None,Yes,0,0,57,11,NaN,0.0,0.8564593301435407,0.0
11,0.8944223107569721,0.0757238307349666,0.03773584905660377,NaiveBayes,None,Yes,0,2,49,2,0.0,0.0,0.5392156862745098,-0.03921568627451001
12,0.8730434782608696,0.07171314741035857,0.0136986301369863,NaiveBayes,None,Yes,0,3,69,1,0.0,0.0,0.4791666666666667,-0.02097902097902156
13,0.8730434782608696,0.07171314741035857,0.0136986301369863,NaiveBayes,None,Yes,0,3,69,1,0.0,0.0,0.4791666666666667,-0.02097902097902156
14,0.8730434782608696,0.07171314741035857,0.0136986301369863,NaiveBayes,None,Yes,0,3,69,1,0.0,0.0,0.4791666666666667,-0.02097902097902156
15,0.9214743589743589,0.06434782608695652,0.10204081632653061,NaiveBayes,None,Yes,0,0,44,5,NaN,0.0,0.38636363636363635,0.0
16,0.9214743589743589,0.06434782608695652,0.10204081632653061,NaiveBayes,None,Yes,0,0,44,5,NaN,0.0,0.38636363636363635,0.0
18,0.8987161198288159,0.06666666666666667,0.09859154929577464,NaiveBayes,None,Yes,1,0,64,6,1.0,0.14285714285714285,0.8225446428571429,0.2310469314079423
19,0.9901129943502824,0.06990014265335236,0.5714285714285714,NaiveBayes,None,Yes,0,0,3,4,NaN,0.0,0.7083333333333334,0.0
20,0.9779005524861878,0.0748587570621469,0.1875,NaiveBayes,None,Yes,0,0,13,3,NaN,0.0,0.5897435897435898,0.0
