Num Training Releases,% Training,% Defective In Training,% Defective In Testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.trees.RandomForest,None,None,32,9,116,85,0.7804878048780488,0.27350427350427353,0.7077948717948718,0.20578171915369037
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.trees.RandomForest,None,None,122,91,197,50,0.5727699530516432,0.7093023255813954,0.7764756944444444,0.37531301768309133
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.trees.RandomForest,None,None,47,14,163,45,0.7704918032786885,0.5108695652173914,0.8898305084745762,0.46978251428189616
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.trees.RandomForest,None,None,24,41,58,10,0.36923076923076925,0.7058823529411765,0.7018716577540107,0.22453412598605227
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.trees.RandomForest,None,None,2,32,128,2,0.058823529411764705,0.5,0.7203125,0.06442953020134265
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.trees.RandomForest,None,None,0,19,117,4,0.0,0.0,0.4742647058823529,-0.04954367666232062
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.bayes.NaiveBayes,None,None,111,122,3,6,0.47639484978540775,0.9487179487179487,0.611965811965812,-0.02644310424812776
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.bayes.NaiveBayes,None,None,134,157,131,38,0.46048109965635736,0.7790697674418605,0.7306302487080103,0.20532265494879337
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.bayes.NaiveBayes,None,None,5,0,177,87,1.0,0.05434782608695652,0.9206276099238516,0.07031343105708487
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.bayes.NaiveBayes,None,None,5,5,94,29,0.5,0.14705882352941177,0.7167260843731432,0.12567672080433098
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.bayes.NaiveBayes,None,None,0,11,149,4,0.0,0.0,0.771875,-0.03709949409780761
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.bayes.NaiveBayes,None,None,0,8,128,4,0.0,0.0,0.5082720588235294,-0.03960396039604008
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.lazy.IBk,None,None,25,11,114,92,0.6944444444444444,0.21367521367521367,0.5628376068376069,0.12852248094538832
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.lazy.IBk,None,None,100,113,175,72,0.4694835680751174,0.5813953488372093,0.5945171188630491,0.18037523596717656
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.lazy.IBk,None,None,32,71,106,60,0.3106796116504854,0.34782608695652173,0.47334807172684845,-0.05181625526072285
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.lazy.IBk,None,None,19,42,57,15,0.3114754098360656,0.5588235294117647,0.5672905525846702,0.10675150229763171
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.lazy.IBk,None,None,2,31,129,2,0.06060606060606061,0.5,0.653125,0.06753962784286727
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.lazy.IBk,None,None,1,35,101,3,0.027777777777777776,0.25,0.49356617647058826,-0.00150602409638556
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.trees.RandomForest,None,Yes,52,17,108,65,0.7536231884057971,0.4444444444444444,0.710905982905983,0.3125476338945473
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.trees.RandomForest,None,Yes,116,73,215,56,0.6137566137566137,0.6744186046511628,0.7702378068475452,0.41273108744705267
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.trees.RandomForest,None,Yes,46,13,164,46,0.7796610169491526,0.5,0.8761667894866126,0.46675402345193695
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.trees.RandomForest,None,Yes,26,39,60,8,0.4,0.7647058823529411,0.7069221628045157,0.2853549788498913
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.trees.RandomForest,None,Yes,2,28,132,2,0.06666666666666667,0.5,0.76796875,0.07796101949025484
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.trees.RandomForest,None,Yes,0,8,128,4,0.0,0.0,0.6001838235294118,-0.03960396039604008
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.bayes.NaiveBayes,None,Yes,48,16,109,69,0.75,0.41025641025641024,0.6461196581196581,0.2864081037951847
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.bayes.NaiveBayes,None,Yes,86,33,255,86,0.7226890756302521,0.5,0.8098150839793282,0.410916447849856
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.bayes.NaiveBayes,None,Yes,7,0,177,85,1.0,0.07608695652173914,0.9203819700319332,0.09777847926449111
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.bayes.NaiveBayes,None,Yes,10,9,90,24,0.5263157894736842,0.29411764705882354,0.6792929292929293,0.2376237623762374
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.bayes.NaiveBayes,None,Yes,0,18,142,4,0.0,0.0,0.484375,-0.04157043879907669
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.bayes.NaiveBayes,None,Yes,1,12,124,3,0.07692307692307693,0.25,0.5009191176470589,0.07732864674868191
1,0.6276923076923077,0.22794117647058823,0.4834710743801653,weka.classifiers.lazy.IBk,None,Yes,26,13,112,91,0.6666666666666666,0.2222222222222222,0.5789401709401709,0.12079927338782928
2,0.5855855855855856,0.3230769230769231,0.3739130434782609,weka.classifiers.lazy.IBk,None,Yes,104,109,179,68,0.48826291079812206,0.6046511627906976,0.6247577519379846,0.2158184690064338
4,0.8049311094996374,0.3441441441441441,0.3420074349442379,weka.classifiers.lazy.IBk,None,Yes,29,10,167,63,0.7435897435897436,0.31521739130434784,0.6293601080815524,0.3002530021736806
5,0.9120370370370371,0.34372733865119653,0.2556390977443609,weka.classifiers.lazy.IBk,None,Yes,20,46,53,14,0.30303030303030304,0.5882352941176471,0.5617944147355912,0.09441670449387203
6,0.9021479713603818,0.335978835978836,0.024390243902439025,weka.classifiers.lazy.IBk,None,Yes,3,43,117,1,0.06521739130434782,0.75,0.740625,0.07865168539325848
7,0.9229074889867841,0.3054892601431981,0.02857142857142857,weka.classifiers.lazy.IBk,None,Yes,1,29,107,3,0.03333333333333333,0.25,0.5183823529411765,0.008849557522124
